Date,Cases,Deaths,Tests,Recovered,Hospitalized
2020-06-19,2213898,112906,26012935,606715,231110
2020-06-20,2245856,113527,26579411,617460,231855
2020-06-21,2273143,113824,27091619,622133,232369
2020-06-22,2300193,114106,27556391,640198,233169
2020-06-23,2333211,114809,28057805,647548,234426
2020-06-24,2371917,115531,28570233,656161,235736
2020-06-25,2410978,118031,29207820,663562,236993
2020-06-26,2455467,118446,29843418,763966,238519
2020-06-27,2499250,118955,30446284,772465,239576
2020-06-28,2541157,119226,31032977,778321,240156
2020-06-29,2577580,119556,31664642,798360,240826
2020-06-30,2621929,120152,32298587,813788,242408
2020-07-01,2674936,120853,32931869,823151,243846
2020-07-02,2729892,121550,33595245,875127,245849
2020-07-03,2786467,122147,34316685,883561,247284
2020-07-04,2838558,122453,34958916,894325,248155
2020-07-05,2881160,122662,35615824,902558,248745
2020-07-06,2928590,122904,36135775,924148,249539
2020-07-07,2980356,123826,36768996,936476,251499
2020-07-08,3042503,124723,37395666,953420,253534
2020-07-09,3101339,125590,38096046,969111,255253
2020-07-10,3167984,126444,38919421,983185,257571
2020-07-11,3230991,127201,39554858,995576,262712
2020-07-12,3291969,127677,40282176,1006326,263651
2020-07-13,3350326,128004,41002876,1031856,264859
